Time(sec),Vehicle_ID,Vehicle_Type,Violation_Type,Speed(km/h)
25.13,401,motorcycle,Over-Speeding,97.8
25.17,9,car,Illegal Parking,0.0
25.17,5,car,Illegal Parking,0.0
25.2,9,car,Illegal Parking,5.4
25.2,5,car,Illegal Parking,0.0
25.2,401,motorcycle,Over-Speeding,87.07
25.23,9,car,Illegal Parking,5.4
25.23,5,car,Illegal Parking,0.0
25.27,9,car,Illegal Parking,0.0
25.27,5,car,Illegal Parking,0.0
25.3,9,car,Illegal Parking,5.4
25.3,5,car,Illegal Parking,0.0
25.33,9,car,Illegal Parking,0.0
25.33,5,car,Illegal Parking,0.0
25.33,401,motorcycle,Over-Speeding,117.94
25.37,9,car,Illegal Parking,5.4
25.37,5,car,Illegal Parking,0.0
25.4,9,car,Illegal Parking,5.4
25.4,5,car,Illegal Parking,5.4
25.43,9,car,Illegal Parking,5.4
25.43,5,car,Illegal Parking,5.4
25.47,9,car,Illegal Parking,5.4
25.47,5,car,Illegal Parking,0.0
25.5,9,car,Illegal Parking,0.0
25.5,5,car,Illegal Parking,5.4
25.53,9,car,Illegal Parking,0.0
25.53,5,car,Illegal Parking,0.0
25.57,9,car,Illegal Parking,5.4
25.57,5,car,Illegal Parking,0.0
25.6,9,car,Illegal Parking,0.0
25.6,5,car,Illegal Parking,5.4
25.63,9,car,Illegal Parking,5.4
25.63,5,car,Illegal Parking,5.4
25.67,9,car,Illegal Parking,0.0
25.67,5,car,Illegal Parking,0.0
25.7,9,car,Illegal Parking,7.64
25.7,5,car,Illegal Parking,5.4
25.73,9,car,Illegal Parking,0.0
25.73,5,car,Illegal Parking,0.0
25.73,420,car,Over-Speeding,137.99
25.77,9,car,Illegal Parking,5.4
25.77,5,car,Illegal Parking,0.0
25.8,9,car,Illegal Parking,0.0
25.8,5,car,Illegal Parking,0.0
25.83,9,car,Illegal Parking,5.4
25.83,5,car,Illegal Parking,5.4
25.87,9,car,Illegal Parking,0.0
25.87,5,car,Illegal Parking,0.0
25.9,9,car,Illegal Parking,5.4
25.9,5,car,Illegal Parking,0.0
25.93,9,car,Illegal Parking,0.0
25.93,5,car,Illegal Parking,0.0
25.97,9,car,Illegal Parking,5.4
25.97,5,car,Illegal Parking,0.0
26.0,9,car,Illegal Parking,7.64
26.0,5,car,Illegal Parking,0.0
26.0,433,truck,Over-Speeding,87.24
26.03,9,car,Illegal Parking,0.0
26.03,5,car,Illegal Parking,0.0
26.07,9,car,Illegal Parking,7.64
26.07,5,car,Illegal Parking,0.0
26.1,9,car,Illegal Parking,0.0
26.1,5,car,Illegal Parking,0.0
26.13,9,car,Illegal Parking,0.0
26.13,5,car,Illegal Parking,0.0
26.17,9,car,Illegal Parking,0.0
26.17,5,car,Illegal Parking,0.0
26.2,9,car,Illegal Parking,0.0
26.2,5,car,Illegal Parking,0.0
26.23,9,car,Illegal Parking,5.4
26.23,5,car,Illegal Parking,5.4
26.27,9,car,Illegal Parking,5.4
26.27,5,car,Illegal Parking,0.0
26.3,9,car,Illegal Parking,0.0
26.3,5,car,Illegal Parking,0.0
26.3,379,car,Over-Speeding,95.54
26.33,9,car,Illegal Parking,5.4
26.33,5,car,Illegal Parking,0.0
26.37,9,car,Illegal Parking,0.0
26.37,5,car,Illegal Parking,0.0
26.4,9,car,Illegal Parking,0.0
26.4,5,car,Illegal Parking,0.0
26.43,9,car,Illegal Parking,5.4
26.43,5,car,Illegal Parking,5.4
26.47,9,car,Illegal Parking,0.0
26.47,5,car,Illegal Parking,0.0
26.5,9,car,Illegal Parking,5.4
26.5,5,car,Illegal Parking,0.0
26.53,9,car,Illegal Parking,7.64
26.53,5,car,Illegal Parking,5.4
26.57,9,car,Illegal Parking,5.4
26.57,5,car,Illegal Parking,0.0
26.6,9,car,Illegal Parking,7.64
26.6,5,car,Illegal Parking,5.4
26.6,362,car,Over-Speeding,160.55
26.63,9,car,Illegal Parking,5.4
26.63,5,car,Illegal Parking,0.0
26.67,9,car,Illegal Parking,0.0
26.67,5,car,Illegal Parking,0.0
26.7,9,car,Illegal Parking,0.0
26.7,5,car,Illegal Parking,0.0
26.7,420,car,Over-Speeding,166.7
26.73,9,car,Illegal Parking,7.64
26.73,5,car,Illegal Parking,0.0
26.77,9,car,Illegal Parking,0.0
26.77,5,car,Illegal Parking,0.0
26.8,9,car,Illegal Parking,0.0
26.8,5,car,Illegal Parking,0.0
26.83,9,car,Illegal Parking,0.0
26.83,5,car,Illegal Parking,5.4
26.87,9,car,Illegal Parking,5.4
26.87,5,car,Illegal Parking,0.0
26.9,9,car,Illegal Parking,0.0
26.9,5,car,Illegal Parking,0.0
26.93,9,car,Illegal Parking,0.0
26.93,5,car,Illegal Parking,0.0
26.97,9,car,Illegal Parking,0.0
26.97,5,car,Illegal Parking,0.0
27.0,9,car,Illegal Parking,0.0
27.0,5,car,Illegal Parking,7.64
27.03,9,car,Illegal Parking,0.0
27.03,5,car,Illegal Parking,0.0
27.07,9,car,Illegal Parking,0.0
27.07,5,car,Illegal Parking,0.0
27.1,9,car,Illegal Parking,0.0
27.1,5,car,Illegal Parking,0.0
27.1,438,bus,Over-Speeding,97.35
27.13,9,car,Illegal Parking,0.0
27.13,5,car,Illegal Parking,0.0
27.17,9,car,Illegal Parking,5.4
27.17,5,car,Illegal Parking,5.4
27.17,434,motorcycle,Over-Speeding,120.75
27.2,9,car,Illegal Parking,0.0
27.2,5,car,Illegal Parking,0.0
27.23,9,car,Illegal Parking,0.0
27.23,5,car,Illegal Parking,0.0
27.27,9,car,Illegal Parking,0.0
27.27,5,car,Illegal Parking,5.4
27.3,9,car,Illegal Parking,5.4
27.3,5,car,Illegal Parking,0.0
27.33,9,car,Illegal Parking,5.4
27.33,5,car,Illegal Parking,0.0
27.37,9,car,Illegal Parking,5.4
27.37,5,car,Illegal Parking,5.4
27.4,9,car,Illegal Parking,0.0
27.4,5,car,Illegal Parking,0.0
27.4,402,motorcycle,Over-Speeding,95.54
27.43,9,car,Illegal Parking,0.0
27.43,5,car,Illegal Parking,0.0
27.47,9,car,Illegal Parking,5.4
27.47,5,car,Illegal Parking,0.0
27.5,9,car,Illegal Parking,0.0
27.5,5,car,Illegal Parking,0.0
27.53,9,car,Illegal Parking,5.4
27.53,5,car,Illegal Parking,0.0
27.53,402,motorcycle,Over-Speeding,82.43
27.57,9,car,Illegal Parking,7.64
27.57,5,car,Illegal Parking,5.4
27.6,9,car,Illegal Parking,0.0
27.6,5,car,Illegal Parking,5.4
27.6,402,motorcycle,Over-Speeding,134.13
27.63,9,car,Illegal Parking,5.4
27.63,5,car,Illegal Parking,5.4
27.63,443,car,Over-Speeding,197.75
27.67,9,car,Illegal Parking,0.0
27.67,5,car,Illegal Parking,5.4
27.7,9,car,Illegal Parking,5.4
27.7,5,car,Illegal Parking,0.0
27.73,9,car,Illegal Parking,0.0
27.73,5,car,Illegal Parking,0.0
27.73,402,motorcycle,Over-Speeding,156.6
27.77,9,car,Illegal Parking,7.64
27.77,5,car,Illegal Parking,5.4
27.8,9,car,Illegal Parking,0.0
27.8,5,car,Illegal Parking,0.0
27.83,9,car,Illegal Parking,0.0
27.83,5,car,Illegal Parking,0.0
27.87,9,car,Illegal Parking,0.0
27.87,5,car,Illegal Parking,5.4
27.9,9,car,Illegal Parking,0.0
27.9,5,car,Illegal Parking,0.0
27.93,9,car,Illegal Parking,0.0
27.93,5,car,Illegal Parking,7.64
27.93,443,car,Over-Speeding,145.4
27.97,9,car,Illegal Parking,0.0
27.97,5,car,Illegal Parking,7.64
28.0,9,car,Illegal Parking,0.0
28.0,5,car,Illegal Parking,0.0
28.03,9,car,Illegal Parking,5.4
28.03,5,car,Illegal Parking,0.0
28.07,9,car,Illegal Parking,0.0
28.07,5,car,Illegal Parking,0.0
28.1,9,car,Illegal Parking,5.4
28.1,5,car,Illegal Parking,0.0
